rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
200,2938,99,100099,333,0.3,0.6141363850511395,2.039556849265784,0.005544705165674313,0.009028458988328141,0.011308741397810419,0.3556681667146404
200,2938,100,100100,309,0.18,0.7478083712399957,1.7956400718268537,0.006140748066374417,0.008211659968705612,0.01102657329897517,0.34919001370924696
200,2938,101,100101,359,0.29,0.6926074012636366,1.917216502142674,0.005944057893664588,0.008582146079900205,0.01139604588342517,0.3626647294088101
200,2938,102,100102,302,0.21,0.7675803887590281,1.799016371484542,0.005628345346960673,0.007332580964008473,0.010125485423551095,0.3599849405331702
200,2938,103,100103,324,0.29,0.7352517573632893,1.75336852509386,0.006270742411950108,0.0085287010185978,0.010994922374084474,0.3269873616647416
200,2938,104,100104,352,0.23,0.6916715990808016,1.915517399703105,0.005637820457568628,0.008151007595311158,0.010799343182874828,0.3615895050568646
200,2938,105,100105,331,0.26,0.6098591995733875,2.0492778627089416,0.005739820611600734,0.009411714401645312,0.011762487315273882,0.3559383059409805
200,2938,106,100106,303,0.21,0.6728778497845304,1.9345000252484879,0.005779959046118044,0.00858990832878346,0.011181330920650582,0.3574169534522015
200,2938,107,100107,306,0.21,0.6527600724017141,1.9548808846846248,0.0057272114029828895,0.00877383842107658,0.011196016094239062,0.3524013496407431
200,2938,108,100108,305,0.23,0.6488429701141868,1.9448162232483017,0.00550651715786585,0.008486671523769123,0.010709163902212633,0.3466722141238392
200,2938,109,100109,324,0.25,0.6430989555702256,1.9685866526023639,0.0058995321876132815,0.009173599391686557,0.01161374032113353,0.35106472322825866
200,2938,110,100110,319,0.18,0.6624267376191679,1.9657946648360032,0.005858091612492246,0.00884338037674453,0.011515805237957796,0.36168284868267175
200,2938,111,100111,332,0.25,0.6934125620823213,1.9873277040789048,0.005413090665377241,0.0078064502453225005,0.010757585043995103,0.38557116413042414
200,2938,112,100112,315,0.21,0.6908994599139854,1.9467136186238214,0.005816951670795479,0.008419389518005513,0.011323939036414151,0.3714050763156932
200,2938,113,100113,329,0.25,0.6674603604919609,1.8351780122604961,0.005903124763034213,0.008844157814380518,0.01083328476875084,0.3193531374734089
200,2938,114,100114,302,0.21,0.6860410149519007,1.8770552826799698,0.005722664549735424,0.00834157787218691,0.01074175772408627,0.34534725213611683
200,2938,115,100115,324,0.21,0.6854577307196883,1.820597998806049,0.00565259541091475,0.008246453658024797,0.01029110389317165,0.32470562860793584
200,2938,116,100116,332,0.22,0.6545627539520709,2.0503941634747367,0.005981905824100122,0.009138781252038878,0.012265264788190426,0.38359720163979216
200,2938,117,100117,312,0.17,0.712248052240395,1.9204824910647715,0.006217706047969143,0.008729691893731665,0.011940995599712276,0.37411425132503295
200,2938,118,100118,330,0.31,0.6848042212243389,1.9916114734494321,0.005656603596600252,0.008260176297521935,0.011265756623744386,0.38234153466486465
200,2938,119,100119,304,0.2,0.6926168663413,2.0646723179967283,0.00586628910393387,0.008469746246466868,0.012111964722258095,0.4081870415269836
500,7344,0,101000,744,0.81,0.6652819917720175,1.9618625577583781,0.005800261885994756,0.008718501263720395,0.011379316619326106,0.3620546982119668
500,7344,1,101001,818,0.79,0.6963076820262918,1.9183679322644263,0.0058974748138268295,0.008469639163917981,0.011313526564182507,0.36504705689074635
500,7344,2,101002,796,0.55,0.6787369578186261,1.9521854574630193,0.006137774303230152,0.009042935164391483,0.01198207373595612,0.36652411752120306
500,7344,3,101003,780,0.76,0.7272633673190846,1.8107369695328004,0.006049488361305551,0.008318153550901123,0.01095403222257436,0.34418478874850045
500,7344,4,101004,781,0.69,0.6544785262677796,1.9832477670949242,0.0054721270500678815,0.008361049034371165,0.01085258375330686,0.36267821567265135
500,7344,5,101005,828,0.66,0.6714811235346084,2.0387862002503137,0.0057342318247547725,0.008539676878138225,0.011690872713346205,0.389527666031381
500,7344,6,101006,719,0.63,0.7485753720038958,1.7561069774178462,0.006439702347243605,0.008602610489315017,0.011308806224488576,0.33492923399883934
500,7344,7,101007,843,0.8,0.740491534898332,1.7796735453542196,0.006201401515213986,0.008374709531372869,0.011036470220745904,0.33963890831747634
500,7344,8,101008,846,0.79,0.6392888085392827,2.030828361693597,0.005695168801119378,0.00890860081554114,0.011565910325945753,0.3686718466120237
500,7344,9,101009,768,0.64,0.6888103540605187,1.8625580008934215,0.006197486441631836,0.00899737700674477,0.011543177957289876,0.3418249504340104
500,7344,10,101010,851,1.01,0.6806288265560454,1.8968023503784726,0.006190384717861121,0.009095096293796753,0.011741936282585953,0.34910730888877217
500,7344,11,101011,781,0.73,0.7686311765124034,1.7469513534533356,0.0067800961617381335,0.00882100072040042,0.011844498166292199,0.34142009804446105
500,7344,12,101012,803,0.82,0.741398543851854,1.8144133775996112,0.005921436584539886,0.007986846796023793,0.01074393375359692,0.3527378472569519
500,7344,13,101013,778,0.63,0.6513107204246718,1.9982246736558251,0.006153525825835602,0.009447911162621952,0.012296127135163037,0.3655954912891891
500,7344,14,101014,856,1.27,0.6636302705858184,1.94793920760183,0.005778474267348666,0.008707369936949575,0.011256116585486727,0.3565345519352642
500,7344,15,101015,834,0.84,0.7044849038830218,1.9906146143402756,0.005616228011008599,0.007972105548398185,0.011179745556180936,0.3922789435983982
500,7344,16,101016,775,0.58,0.6690115004248111,2.0435496415162397,0.005521851960277256,0.008253747441966204,0.011284178593930331,0.38960557529401185
500,7344,17,101017,747,0.73,0.6824207629549354,1.961849812975024,0.005621020121591774,0.00823688320568137,0.011027597274273668,0.37167168048463695
500,7344,18,101018,802,0.64,0.6801143744785278,1.9406329031274787,0.00630244679285602,0.00926674546128858,0.012230735616426645,0.3635218378347498
500,7344,19,101019,758,0.57,0.6441729969308317,2.074057311741964,0.005905877420536929,0.009168154282584861,0.012249128246316389,0.38468961219118103
500,7344,20,101020,790,0.55,0.6719666285392674,1.9114955717826092,0.005355195695674748,0.007969436975339035,0.01023643285831157,0.3491564466133962
500,7344,21,101021,829,0.92,0.6841869525114442,1.9620651321864835,0.005754254742900055,0.008410354394771662,0.011290222592762897,0.37270461138864885
500,7344,22,101022,779,0.65,0.6893014789270336,1.8593619017596745,0.005692966895317864,0.0082590376915766,0.010585285753133094,0.3409717549304293
500,7344,23,101023,761,0.7,0.621043197767781,2.048169670626186,0.005570809943489036,0.00897008446998893,0.011409963967077021,0.36279840780237715
500,7344,24,101024,778,0.52,0.6762372900356198,1.9472908737237369,0.005792022892516041,0.008565074682898594,0.011278753318995447,0.36353348772888294
500,7344,25,101025,768,0.76,0.6867947184514769,1.974164532096928,0.006030398809893782,0.008780496774189796,0.011904999444891831,0.377954797367143
500,7344,26,101026,821,0.57,0.608270560991764,2.118859456457034,0.005560989942342284,0.009142296699802934,0.011782956126594404,0.3760781893705112
500,7344,27,101027,769,0.63,0.6585431817083597,1.9418814350711444,0.005379201336908721,0.00816833502543336,0.010445771211652926,0.3515301030512261
