chrom	win	n_sites	fst
1	70500000	12985	0.007442185801254924
1	70600000	11914	0.0076038912227029305
1	70700000	9097	0.008408933611532653
1	70800000	10788	0.00989497668193287
1	70900000	11114	0.0112841244684698
1	71000000	10261	0.02028474937773334
1	71100000	10186	0.012299479629563854
1	71200000	10101	0.013808636688282045
1	71300000	9048	0.00983925591538329
1	71400000	9147	0.00979961161318425
1	71500000	8593	0.006141103337258488
1	71600000	10274	0.006568984942466823
1	71700000	11299	0.006403424173845177
1	71800000	10697	0.008866891721388756
1	71900000	10154	0.009189079480181855
1	72000000	6994	0.0060070500552086405
1	72100000	9393	0.0076840074604506104
1	72200000	10874	0.011189338760458717
1	72300000	10451	0.009901669728304991
1	72400000	10763	0.008565676065087334
1	72500000	10704	0.0060251828265645456
1	72600000	10448	0.0044391784367392995
1	72700000	9480	0.012553238615875503
1	72800000	9650	0.012101766232867971
1	72900000	9493	0.010166113228035656
1	73000000	11195	0.005708997673150961
1	73100000	11688	0.010520789811032135
1	73200000	12248	0.017276164449010815
1	73300000	12315	0.013326787124251612
1	73400000	12413	0.010643802767848154
1	73500000	12276	0.011005106893468761
1	73600000	11713	0.011805849172735092
1	73700000	12120	0.013992606022998776
1	73800000	12502	0.012813530474697968
1	73900000	13088	0.012496536099862638
1	74000000	12591	0.02955955439549567
1	74100000	13521	0.008635811482430955
1	74200000	13523	0.01977768671441244
1	74300000	12538	0.01412663525614913
1	74400000	13636	0.010862738968827858
1	74500000	12226	0.011819782352527853
1	74600000	12807	0.0106846847733294
1	74700000	13372	0.0169907283430166
1	74800000	14538	0.019998956413931013
1	74900000	13789	0.02574125784012344
1	75000000	13103	0.013054757078030563
1	75100000	13531	0.02141998833419744
1	75200000	12787	0.014399862196073495
1	75300000	14145	0.008930888080537085
1	75400000	13181	0.01938908007207635
1	75500000	11995	0.01662388718603504
1	75600000	13613	0.018843766141729508
1	75700000	11242	0.01384574046177705
1	75800000	13341	0.01279605860699945
1	75900000	14831	0.012460779833272567
1	76000000	14687	0.00623060400758002
1	76100000	14377	0.010887120485228703
1	76200000	13575	0.03058060965406067
1	76300000	13290	0.017714344520685224
1	76400000	14516	0.011913876446546514
1	76500000	13470	0.01903618923092994
1	76600000	13660	0.008630423322016809
1	76700000	12659	0.01906051130958549
