t_inv,p_start,plateau,rep,s_het,s_hom,seed,seq_length,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
650000.0,0.022,0.0,82,4.041609956736588e-05,2.4146359805423068e-05,900082,37148,3091,6.9,0.7386463897543669,1.737530290822576,0.006262265515884071,0.008478029003792404,0.01088087602302224,0.32265129717091223
650000.0,0.022,0.0,83,4.041609956736588e-05,2.4146359805423068e-05,900083,37148,3048,10.44,0.7326134303845889,1.766987371717895,0.006194652089041005,0.008455553545870832,0.010945872013521332,0.3307885558677016
650000.0,0.022,0.0,84,4.041609956736588e-05,2.4146359805423068e-05,900084,37148,3111,10.97,0.7343786766925142,1.7204553009726404,0.006051458880380963,0.00824024317758714,0.010411264509369387,0.31364235126738915
650000.0,0.022,0.0,85,4.041609956736588e-05,2.4146359805423068e-05,900085,37148,3197,14.8,0.7508830492287759,1.6873619538793327,0.006445328583637523,0.008583665046450912,0.010875602232280924,0.3090500503282738
650000.0,0.022,0.0,86,4.041609956736588e-05,2.4146359805423068e-05,900086,37148,3141,8.29,0.7412968931590077,1.7257703879241646,0.006400915879910363,0.008634753415238408,0.011046511081142853,0.31943809295517367
650000.0,0.022,0.0,87,4.041609956736588e-05,2.4146359805423068e-05,900087,37148,3199,11.5,0.7442931491831369,1.7362815332080654,0.006402152270896664,0.008601654170702817,0.011115938760743958,0.3251219368630581
650000.0,0.022,0.0,88,4.041609956736588e-05,2.4146359805423068e-05,900088,37148,3220,6.78,0.7399660371516514,1.7451693937243415,0.0062881986404612145,0.008497955750329238,0.010973971808991926,0.32630798364750335
650000.0,0.022,0.0,89,4.041609956736588e-05,2.4146359805423068e-05,900089,37148,3205,17.79,0.771562338982094,1.6890568394114391,0.006112670395423709,0.00792245822092357,0.010324647738458242,0.320309565426243
650000.0,0.022,0.0,90,4.041609956736588e-05,2.4146359805423068e-05,900090,37148,3055,4.96,0.7273425552848394,1.761071696093718,0.006104992731101154,0.008393559110136678,0.01075132990360013,0.32573216656746207
650000.0,0.022,0.0,91,4.041609956736588e-05,2.4146359805423068e-05,900091,37148,3109,9.42,0.7652105161835888,1.6829880537060207,0.006277743634036212,0.008203943230348993,0.010565367540311966,0.31466241902467684
650000.0,0.022,0.0,92,4.041609956736588e-05,2.4146359805423068e-05,900092,37148,3078,14.39,0.7539132443947353,1.7186965391525517,0.006230571881532761,0.008264308828444651,0.010708462329731558,0.32320438436184085
650000.0,0.022,0.0,93,4.041609956736588e-05,2.4146359805423068e-05,900093,37148,3030,7.99,0.7433820578041962,1.7059454268773069,0.006401478123929341,0.008611289520274465,0.010920572330772382,0.31263823957741255
650000.0,0.022,0.0,94,4.041609956736588e-05,2.4146359805423068e-05,900094,37148,3154,10.26,0.743655391006007,1.7243864912444093,0.00624311907711314,0.008395177595186303,0.010765550199804162,0.32013244095198534
650000.0,0.022,0.0,95,4.041609956736588e-05,2.4146359805423068e-05,900095,37148,3088,11.2,0.7541432578696772,1.7077762093261146,0.006164910886994473,0.00817472121200058,0.010528288145424716,0.3189950777882805
650000.0,0.025,0.0,0,4.0206861599121484e-05,2.4021351818005487e-05,901000,37148,3141,6.74,0.7513423413362655,1.682633165854609,0.006435424110763916,0.008565235521424876,0.01082845804511177,0.30735015227027374
650000.0,0.025,0.0,1,4.0206861599121484e-05,2.4021351818005487e-05,901001,37148,2996,9.58,0.7562928734895554,1.6800861295904472,0.006388476499439131,0.008447093346209295,0.010733190755922219,0.3088928454261073
650000.0,0.025,0.0,2,4.0206861599121484e-05,2.4021351818005487e-05,901002,37148,3122,10.18,0.7696249309854033,1.6756923988966796,0.006303696605364227,0.008190608634901125,0.010563056486559638,0.3139151883402399
650000.0,0.025,0.0,3,4.0206861599121484e-05,2.4021351818005487e-05,901003,37148,3234,10.43,0.7658554080332387,1.7137548789998818,0.006195097321626056,0.008089121336278642,0.010616878260815752,0.32728725398386727
650000.0,0.025,0.0,4,4.0206861599121484e-05,2.4021351818005487e-05,901004,37148,3129,12.56,0.7755912053473046,1.647328389349557,0.006384707860329865,0.008232052937566299,0.010517710516024653,0.3051358099452228
650000.0,0.025,0.0,5,4.0206861599121484e-05,2.4021351818005487e-05,901005,37148,2926,5.83,0.7761512462348636,1.668978878585497,0.006285671542598382,0.008098513753717965,0.010490653042322618,0.3144285089647906
